": 21, 0: Found indentation with tabs instead of spaces (mixed-indentation) C: 21, 0: Exactly one space required around assignment                     z[j][i]=' '             ^ (bad-whitespace) C: 22, 0: Trailing whitespace (trailing-whitespace) W: 23, 0: Found indentation with tabs instead of spaces (mixed-indentation) C: 23, 0: Unnecessary parens after 'if' keyword (superfluous-parens) W: 24, 0: Found indentation with tabs instead of spaces (mixed-indentation) C: 24, 0: Unnecessary parens after 'if' keyword (superfluous-parens)Nothing to previewNothing to preview",Github
"' if name == ""main"": ' needed, so that game won't immediately start when imported as a module.Nothing to previewNothing to preview",Github
'mandar' not a good variable. Can't understand what it is. Nothing to previewNothing to preview,Github
"""super-init-not-called"" warning generated. This is generated when the ancestor class method has an init method which is not called by the derived class.Nothing to previewPEP8 standards violated. 2 blank lines should be left between class name and first methodNothing to previewPEP8 standards violated. Found indentation with tabs instead of spaces.Nothing to previewNothing to preview",Github
(pylint): Too many arguments (8/5) (too-many-arguments)Nothing to previewNothing to preview,Github
@codejoydo Thanks for the clarification.Nothing to preview,Github
1-Bad White space.  2-Too many loops (Code Smells)Nothing to previewNothing to preview,Github
"2 kinds of jump functions should be there,but only one is written.Nothing to preview",Github
2 lines should be left blank between Class and first method. PEP8 standards violated.Nothing to preview,Github
2 lines should be left blank between Class and first method. PEP8 standards violated.Nothing to previewcode smell: long classNothing to previewNothing to preview,Github
2 lines should be left blank between Class and first method. PEP8 standards violated.Nothing to previewNothing to preview,Github
A newline is expected after the end of the file.Nothing to previewNothing to preview,Github
A player  can climb up a broken ladder.Nothing to preview,Github
Absence of data abstraction : Class data members not divided into private and protected.Nothing to preview,Github
Access to a protected member _posx of a client class (protected-access)Nothing to previewNothing to preview,Github
Access to protected members in client class in several places.Nothing to preview,Github
Access to self._onLadder before its definition at line 167.Nothing to previewNothing to preview,Github
"According to PEP-8, max length of a line is 79 characters; violated at some places.Nothing to preview",Github
"Actually, game doesn't meet any of the basic requirementsNothing to preview",Github
Add more details to readme. Better add per-requisites required to run your game . Like installing pygame module in your case. You may also add details like for what the a particular module is written etc   Nothing to previewNothing to preview,Github
Advantage of using classes is not taken into consideration .Nothing to previewPlayer movement not properly constrained. Jump consists only three stages.Nothing to previewBug in player's initializing position after loosing a life.Nothing to previewlevel upgradation not implemented.Nothing to previewWhen in backward motion player is not collecting coins.Nothing to previewwe have to change values at many positions to make even a small change.Nothing to previewNothing to preview,Github
"After gaining a single coin,the score increases by 20 and not 5 as per the required specificationsNothing to preview",Github
After getting in the cage game does not respond at all.Nothing to preview,Github
"After hitting fireball ,player is not going to starting position.Nothing to preview",Github
"After saving the princess game does not reset.For example the score should be zero but it is not , and the coins now should be reset to new random position but they are same as in the previous game.Nothing to preview",Github
"After winning the game i.e after taking queen, game ends automatically.Nothing to preview",Github
"All basic functionality implemented like moving , jumping , loosing life when hit by a fireball etc.Nothing to preview",Github
"All necessary functions implemented. (except checkWall, since player can move through the walls)Nothing to preview",Github
"All OOP principles implemented (Inheritance, Polymorphism, Encapsulation, Modularity)Nothing to preview",Github
"All the functions of have an argument grid which has a fixed value. Shouldn't be an argument.Nothing to previewPEP8 - Missing white space after "",""Nothing to previewNothing to preview",Github
All this code ( 160 - 252 ) belongs to movement of player . so it must be implemented as a method in Players class . So that it can be checked and maintained  better.Nothing to previewNothing to preview,Github
Anomalous-backslash-in-stringNothing to previewNothing to preview,Github
any of the OOP concepts not implemented. Nothing to preview,Github
"As random.randint() is used, coins might get overlapped but with a lesser probability.Nothing to previewNothing to preview",Github
As your code is not contained in a class or function implies  variables to be constants and as such they should be uppercase this violates PEP 8 conventions.Nothing to previewNothing to preview,Github
"Ascii art,cool idea! It is highly recommended that hard-coded/ named constants are externalized into separate resource files/scripts.Nothing to previewNothing to preview",Github
Atleast two spaces must be given before inline comment and a space must be given after #.Nothing to previewNothing to preview,Github
"Attributes should be defined inside  init. 'wall', 'dt' , 'height', 'size' are defined outside.Nothing to previewNothing to preview",Github
avoid white space immediately inside parentheses  Nothing to previewNothing to preview,Github
"Bad code smell - ""No Self Use""Nothing to previewNothing to preview",Github
Bad Code smell :  Alternative Classes with Different Interfaces. They can be modified to share a common interface.Nothing to previewNothing to preview,Github
Bad code smell : Declaring the colors and other variables again and again in the different files does not make sense. Use a separate file which contains all the declared constant variable and import the file everywhere.Nothing to previewNothing to preview,Github
Bad Code Smell : Excessively short identifiers The method name does not give any hint about what the method do.Nothing to previewNothing to preview,Github
Bad code smell : Reimported random.Nothing to previewNothing to preview,Github
Bad code smell : Uncommunicative names. Nothing to previewNothing to preview,Github
"Bad code smell .. https://en.wikipedia.org/wiki/Code_smellExcessive use of literals:these should be coded as named constants, to improve readability and to avoid programming errors. Additionally, literals can and should be externalized into resource files/scripts where possible, to facilitate localization of software if it is intended to be deployed in different regions.Nothing to previewNothing to preview",Github
"Bad code smell .Give argument more meaningful names so that the code becomes readable and reader understands . Also separate them by comma in definition of a method or a function http://blog.codinghorror.com/code-smells/Uncommunicative Name Does the name of the method succinctly describe what that method does? Could you read the method's name to another developer and have them explain to you what it does? If not, rename it or rewrite it.Nothing to previewNothing to preview",Github
"Bad Code smell Instead of hard code values like 80, 30, etc keep those limits as variables (name constants) in the class so it ll be readable and can be easily modified  https://en.wikipedia.org/wiki/Code_smellExcessive use of literals: these should be coded as named constants, to improve readability and to avoid programming errors. Additionally, literals can and should be externalized into resource files/scripts where possible, to facilitate localization of software if it is intended to be deployed in different regions.Nothing to previewNothing to preview",Github
"Bad Code Smell Lazy Class No methods for classes.. Better include some methods for each classes so that it actually becomes useful and meaningful  http://blog.codinghorror.com/code-smells/Lazy Class Classes should pull their weight. Every additional class increases the complexity of a project. If you have a class that isn't doing enough to pay for itself, can it be collapsed or combined into another class?Nothing to previewNothing to preview",Github
Bad code smell- method could be a function. (no self use)Nothing to previewNothing to preview,Github
Bad code smell:    Too few public methods (0/2)Nothing to previewNothing to preview,Github
Bad code smell:    too few public methodsNothing to previewNothing to preview,Github
Bad code smell:    Too many branchesNothing to previewBad code smell- too many branchesNothing to previewNothing to preview,Github
"Bad code smell:    Too many statements (59 present,50 is the standard limit)Nothing to previewBad code smell:   Too many local variables (24 present,15 is standard) Nothing to previewNothing to preview",Github
Bad code smell:   Method could be a function (no-self-use)-method doesn't use its bound instanceNothing to previewNothing to preview,Github
Bad code smell:   Too few public methods (0/2) Nothing to previewNothing to preview,Github
Bad code smell:   Too few public methods (0/2)Nothing to previewNothing to preview,Github
Bad code smell:   Too few public methods (0/2)Nothing to previewNothing to preview,Github
"Bad code smell:   Too many branches 12 is the standard limit, 13 presentNothing to previewNothing to preview",Github
Bad code smell:   Too many instance attributes 7 is the limit 9 present Nothing to previewNothing to preview,Github
Bad code smell:   Too many statements (79 present/50 is the standard limit)Nothing to previewBad code smell:   Too many branches (34 present /12 is the standard limit) Nothing to previewNothing to preview,Github
Bad code smell:  Too few public methods (0/2)Nothing to previewNothing to preview,Github
Bad code smell:  Too few public methods (1/2)Nothing to previewNothing to preview,Github
Bad code smell:  Too many statements(55/50)Nothing to previewNothing to preview,Github
Bad code smell: Too few public methods (1/2)Nothing to previewNothing to preview,Github
Bad code smell: Too many if conditions can slow down the programShould be avoided (and in place if some elif can be used to speedUp the program)Nothing to previewNothing to preview,Github
Bad code smell. Code can be defined as a function and can be called http://blog.codinghorror.com/code-smells/Combinitorial Explosion You have lots of code that does almost the same thing.. but with tiny variations in data or behavior. This can be difficult to refactor-- perhaps using generics or an interpreter?Nothing to previewNothing to preview,Github
Bad code smell.Hard coded values.Nothing to previewNothing to preview,Github
