"why you did that ?","Phab"
"test comment","Phab"
"get position function is too long!
ideally a function should be <15-20 line.

also too many nested if-else conditions.
divide the responsibility of this function, into various other functions.","Phab"
"Code Smell: Uncommunicative name. Also, \""downShift\"", \""coll\"" (Lines 62, 23)","Phab"
"Code Smell:- Useless override function","Phab"
"Too many blank lines.","Phab"
"Code Smell: Dead code, this does nothing","Phab"
"Sizes hard-coded, must be proportional to the resolution of the game","Phab"
"Villains.py can be split into the two kinds of villains - Donkey and Fireballs","Phab"
"Screen resolutions are hardcoded. They should be retrieved from the system using the sys module.","Phab"
"Code Smell: A lot of duplication for wall collisions across classes. Could have used a function.","Phab"
"Hardcoded sizes, should be proportional to screen resolution","Phab"
"Unnecessary Semicolon","Phab"
"Code Smell: Long function","Phab"
"Code Smell: Nested conditions, could have achieved the same with one while loop, removing x.","Phab"
"Spaces required around comparison operator
","Phab"
"Unnecessary parentheses around the condition","Phab"
"Bug: Stairs functionality not implemented in code, player cannot use stairs even if they are present.","Phab"
"Bug: Player must have 3 lives.","Phab"
"Code Smell: Large lines in nested conditionals, could easily lead to bugs","Phab"
"Code Smell: This limit seems to indicate there are only 15 coins present, whereas there should be 20.","Phab"
"Code Smell: Board is hard-coded, also duplicated  in another location.","Phab"
"Getter, Setter functions aren't used throughout the code","Phab"
"Unnecessary Semicolon","Phab"
"Trailing Whitespaces","Phab"
"Bug: This method isn't used; fireballs do not move in any direction.","Phab"
"Unnecessary comments","Phab"
"Code Smell: Similar __init__() function compared to other classes. Along with other object-type classes like Princess, should have been inherited from an \""Object\"" class.","Phab"
"Code Smell: Redundant code, update() should prevent object from crossing walls","Phab"
"Unnecessary Comments. ","Phab"
"This function and the above are inherited already, from Person. There's no need to rewrite the same code.","Phab"
"Variable name is spelled wrongly, could cause problems when other people use this method. Could have been better named as addLadder.","Phab"
"Too many whitespace lines","Phab"
"Ladder positions hardcoded
","Phab"
"Unnecessary parantheses in the 'if' function
","Phab"
"Code Smell: Almost all the functionality seems to have been implemented in this single file/class.","Phab"
"Bug: When the player is mid-air. moving left/right and collides with the edge of a wall, he is stopped. Instead, he should still move in the original direction after losing contact with the wall.","Phab"
"Bug: When the player is on top of a ladder, the UP arrow key makes him jump, while SPACE does not work.","Phab"
"No __init__ function","Phab"
"Move function only used for moving left, code smell : bad naming scheme.","Phab"
"Hardcoded the board layout, could be done in a cleaner way.","Phab"
"Multi-jump was allowed intentionally.","Phab"
"Code Smell: Uncommunicative method name. The difference between the constructor and initGame() should  have been highlighted with a comment,","Phab"
"No Private Variables used","Phab"
"Bug: Variables - ROWS, COLUMNS aren't defined anywhere, and the code does not run.","Phab"
"Code Smell: Long class, could have inherited more of it's functionality from class Person","Phab"
"**Bad naming** ! Could be better named if the words are separated, perhaps through capitalization (canMoveDown) or underscores (can_move_down)","Phab"
"Code smell: Bad variable name.","Phab"
"Redundant variable, does nothing","Phab"
"This was done intentionally, to prevent the player jumping off ladders.","Phab"
"Bug: Multiple coins can intersect with each other. Ideally, it must not happen.","Phab"
"Code smell: getPosition() does not return x, y positions.","Phab"
"Code Smell: Too many nested conditions and long code, could have split into different function","Phab"
"Bug: The Queen on the board is inactive.","Phab"
"Bug: When the player jumps and falls on top of a ladder, without releasing the UP arrow key, he slides down the ladder. This should not happen.","Phab"
"not according to PEP 8 standards, space after \"" , \""$$$$""{\""source\"":\""web\"",\""params\"":{\""ip\"":null}}","Phab"
"**codesmell**
 this is a lazy class","Phab"
"**bad codesmell**


uncommunicative name","Phab"
"this line of code doesnot have any significance!!","Phab"
"**codesmell** 

too many if conditions","Phab"
